Amager adress,Amager side
Marengovej,east
Maltagade,east
Frankrigshusene,east
Carlsgade,east
Siljangade,east
Tyrolsgade,east
Amager Strandvej,east
Halfdansgade,vest
Strandslodsvej,east
Ejler Billes Allé,vest
Christian II's Allé,vest
Ebertsgade,vest
Under Elmene,vest
Kongelundsvej,vest
Telemarksgade,vest
Frankrigsgade,east
Store Mølle Vej,vest
Spaniensgade,east
Kornskyldvej,vest
Jens Otto Krags Gade,vest
Gertrud Steins Vej,vest
Prags Boulevard,east
Sundholmsvej,vest
Emma Gads Vej,vest
Martha Christensens Vej,vest
Njalsgade,vest
Hyacintgården,vest
Gertrude Steins Vej,vest
Valmuevej,vest
Samosvej,east
Cumberlandsgade,east
Hannemanns Allé,vest
Drechselsgade,vest
Florensvej,east
Hyacintvej,vest
Klaksvigsgade,vest
Gyldenrisvej,vest
Ørestads Boulevard,vest
Parmagade,east
Irlandsvej,vest
Else Alfelts Vej,vest
Michael Strunges Vej,vest
Geislersgade,east
Richard Mortensens Vej,vest
Amager Boulevard,vest
Axel Heides Gade,vest
Bardenflethsgade,vest
Oxford Allé,vest
Indiakaj,east
Øresundsvej,east
Kretavej,east
Edvard Thomsens Vej,vest
Romsdalsgade,vest
Hollænderdybet,vest
Nadine Gordimers Vej,vest
Robert Jacobsens Vej,vest
Tom Krisensens Vej,vest
Ved Amagerbanen,east
Artillerivej,vest
Grækenlandsvej,east
Lergravsvej,east
Dagøgade,vest
Strandlodsvej,east
Edward Thomsens Vej,vest
Lindgreens Allé,east
Øresund Parkvej,east
Dea Trier Mørchs Vej,vest
Weidekampsgade,vest
Doris Lessings Vej,vest
Amagerbrogade,east
Halldór Laxness Vej,vest
Englandsvej,vest
Kirkegårdsvej,east
Finlandsgade,vest
Amagerfælledvej,vest
Hans Hedtofts Gade,vest
Ulrik Birchs Allé,vest
Biens Allé,east
Gullandsgade,vest
Islands Brygge,vest
Thingvalla Allé,vest
Faste Batteri Vej,vest
Vejlands Allé,vest
Svinget,vest
Asger Jorns Allé,vest
C.F. Møllers Allé,vest
Rundholtsvej,vest
Holmbladsgade,east
Lyongade,east
